Place,Artist,Song,Length,BPM,Year,Genre
195,The Chantels,Maybe,2:52,103.9,1958,TBD
196,Guns N' Roses,Sweet Child O' Mine,5:55,125,1988,Rock 1980s
197,Elvis Presley,Don't Be Cruel,2:04,84.6,1956,Rock 1950s
198,Jimi Hendrix,Hey Joe,3:27,84.3,1968,Rock 1960s
199,Parliament,Flashlight,4:28,105.5,1978,Dance 1970s
200,Beck,Loser,3:55,85.4,1994,Rock 1990s
201,New Order,Bizarre Love Triangle,6:42,118.4,1987,Rock 1980s
202,The Beatles,Come Together,4:18,82.8,1969,Rock 1960s
203,Bob Dylan,Positively 4th Street,3:55,110,2000,TBD
204,Otis Redding,Try a Little Tenderness,3:16,104.1,1967,Slow
205,Bill Withers,Lean on Me,3:45,150.6,1972,Slow
206,Four Tops,Reach Out (I'll Be There),3:00,119.7,1966,Rock 1960s
207,Everly Brothers,Bye Bye Love,2:15,86.3,1957,Rock 1950s
208,Van Morrison�with�Them,Gloria,2:36,131.1,1965,Rock 1960s
209,The Beach Boys,In My Room,2:15,103.7,1963,TBD
210,? & The Mysterians,96 Tears,3:01,123.6,1997,TBD
211,The Beach Boys,"Caroline, No",2:19,152.3,1966,TBD
212,Prince,1999,3:37,119.2,1983,Dance 1980s
213,Hank Williams,Your Cheatin' Heart,2:42,128.5,1953,Country
214,Neil Young,Rockin' in the Free World,4:44,131.9,2004,TBD
215,The Chords,Sh-Boom,2:27,137.5,1985,TBD
216,The Lovin' Spoonful,Do You Believe in Magic,2:07,138.7,1965,TBD
217,Dolly Parton,Jolene,2:41,110,1974,TBD
218,John Lee Hooker,Boom Boom,2:10,91.5,1962,TBD
219,Howlin' Wolf,Spoonful,2:45,119.9,2003,TBD
220,The Left Banke,Walk Away Renee,2:43,118.3,1967,TBD
221,Lou Reed,Walk on the Wild Side,4:12,106.1,1973,Rock 1970s
222,Roy Orbison,"Oh, Pretty Woman",2:57,127.2,1964,Rock 1960s
223,Sly & The Family Stone,Dance to the Music,2:58,128.1,1968,Dance 1960s
224,Chic,Good Times,3:44,110.2,1979,Disco
225,Muddy Waters,I'm Your Hoochie Coochie Man,2:52,108.9,1960,TBD
226,Van Morrison,Moondance,4:32,131.6,1970,Rock 1970s
227,James Taylor,Fire And Rain,3:22,151.7,1970,Slow
228,The Clash,Should I Stay or Should I Go?,3:07,113.3,1982,Rock 1980s
229,Muddy Waters,Mannish Boy,2:58,105.4,1960,TBD
230,Bob Dylan,Just Like a Woman,4:52,116.3,1967,TBD
231,Marvin Gaye,Sexual Healing,3:59,93.9,1982,Slow
232,Roy Orbison,Only the Lonely (Know How I Feel),2:26,119.9,1960,Slow
233,The Animals,We Gotta Get Out of This Place,3:10,124.7,1965,Rock 1960s
234,The Byrds,I'll Feel a Whole Lot Better,2:33,134.4,1965,TBD
235,Ray Charles,I've Got a Woman,2:55,99.4,1994,TBD
236,Buddy Holly,Everyday,2:07,136.5,1957,Rock 1950s
237,Afrika Bambaataa�&�Soulsonic Force,Planet Rock,5:03,122.7,1985,Rock 1980s
238,Patsy Cline,I Fall to Pieces,2:49,111.2,1961,Country
239,Dion,The Wanderer,2:42,114.1,1961,Rock 1960s
240,Dusty Springfield,Son of a Preacher Man,2:27,90.9,1969,Rock 1960s
241,Sly & The Family Stone,Stand,3:08,108.3,2002,TBD
242,Elton John,Rocket Man,4:42,137,1974,Rock 1970s
243,The B-52's,Love Shack,5:22,133.6,1989,Rock 1980s
244,The Spencer Davis Group,Gimme Some Lovin',2:53,147.5,1967,Rock 1960s
245,The Band,The Night They Drove Old Dixie Down,3:32,125.6,1969,TBD
246,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,2:57,95.4,1967,Rock 1960s
247,Sly & The Family Stone,Hot Fun in the Summertime,2:35,144.8,1969,Dance 1960s
248,Sugarhill Gang,Rapper's Delight,6:32,111.8,1980,Dance 1980s
249,Aretha Franklin,Chain of Fools,2:43,117,1968,Dance 1960s
250,Black Sabbath,Paranoid,2:45,82.1,1969,Rock 1960s
251,Bobby Darin,Mack the Knife,3:04,84.7,1959,Easy
252,Clyde McPhatter�&�The Drifters,Money Honey,2:59,123.2,1990,Easy
253,Mott the Hoople,All the Young Dudes,3:32,154.8,1972,Rock 1970s
254,AC/DC,Highway to Hell,3:29,116,1979,Rock 1970s
255,Blondie,Heart of Glass,4:34,114.5,1979,Dance 1970s
256,Radiohead,Paranoid Android,6:23,163.6,1997,Rock 1990s
257,The Troggs,Wild Thing,2:35,102.1,1966,Rock 1960s
258,The Who,I Can See for Miles,4:21,132.7,1967,Rock 1960s
259,Jeff Buckley,Hallelujah,6:53,93.1,1994,TBD
260,The Dells,Oh What a Nite,2:54,111.3,1988,TBD
261,Stevie Wonder,Higher Ground,3:11,125.3,1973,Rock 1980s
262,Smokey Robinson�and�The Miracles,Ooo Baby Baby,2:48,111.2,1965,TBD
263,The Crystals,He's a Rebel,2:24,115.9,1962,Dance 1960s
264,Randy Newman,Sail Away,2:50,89.2,1972,TBD
265,Archie Bell & The Drells,Tighten Up,3:14,124.5,1991,TBD
266,The Ronettes,Walking in the Rain,3:16,108,1964,TBD
267,New York Dolls,Personality Crisis,3:43,155.6,1973,TBD
268,U2,Sunday Bloody Sunday [Live],5:17,109.4,1983,Rock 1980s
269,The Modern Lovers,Roadrunner,4:06,152.1,1976,TBD
270,George Jones,He Stopped Loving Her Today,3:16,112.3,2005,Country
271,The Beach Boys,Sloop John B,2:54,124.9,1966,Slow
272,Chuck Berry,Sweet Little Sixteen,3:00,88.6,1958,Rock 1950s
273,The Beatles,Something,3:02,132.4,1969,Rock 1960s
274,Jefferson Airplane,Somebody to Love,2:55,131.2,1967,Rock 1960s
275,Bruce Springsteen,Born in the U.S.A.,4:37,123.6,1984,Rock 1980s
276,The Staple Singers,I'll Take You There,3:17,101.5,1989,TBD
277,David Bowie,Ziggy Stardust,3:13,160.7,1972,Rock 1970s
278,The Cure,Pictures of You,4:46,86.3,1989,Rock 1990s
279,The Dixie Cups,Chapel of Love,2:45,125.7,1964,Rock 1960s
280,Bill Withers,Ain't No Sunshine,2:03,159.5,2002,TBD
281,Stevie Wonder,You Are the Sunshine of My Life,2:51,134,1973,Slow
282,Joni Mitchell,Help Me,3:24,163.4,1974,TBD
283,Blondie,Call Me,3:32,142,1980,Dance 1980s
284,Elvis Costello,"(What's So Funny 'Bout) Peace, Love & Understanding",3:32,141.8,1999,TBD
285,Howlin' Wolf,Smokestack Lightnin,3:08,145.2,2003,TBD
286,Pavement,Summer Babe [Winter Version],3:16,98.4,1992,TBD
287,Run-DMC,Walk This Way,5:11,105.6,1986,R&B 1980s
288,Barrett Strong,Money (That's What I Want),2:27,141.1,1978,Rock 1970s
289,The Beatles,Can't Buy Me Love,2:13,85.3,1966,Rock 1960s
290,Eminem,Stan,5:31,160,2005,TBD
291,The Zombies,She's Not There,2:25,131.4,1964,TBD
292,The Clash,Train in Vain,3:10,122.9,1980,Rock 1980s
293,Al Green,Tired of Being Alone,2:52,98.3,1971,TBD
294,Led Zeppelin,Black Dog,4:54,82.6,1971,Rock 1970s
295,The Rolling Stones,Street Fighting Man,3:16,128.2,1968,TBD
296,Bob Marley & The Wailers,Get Up Stand Up,3:19,156.3,1975,Reggae
297,Neil Young,Heart of Gold,3:07,85.5,1972,Slow
298,Blondie,One Way or Another,3:35,162.1,1979,Dance 1970s
299,Prince,Sign 'O' the Times,3:42,98.9,1993,Rock 1980s
300,Madonna,Like a Prayer,5:27,111.9,1989,Dance 1980s
301,Rod Stewart,Do Ya Think I'm Sexy?,5:28,112,1979,Rock 1970s
302,Willie Nelson,Blue Eyes Crying in the Rain,2:20,116.8,1998,Country
303,The Rolling Stones,Ruby Tuesday,3:16,104.9,1967,TBD
304,The Beatles,With a Little Help From My Friends,2:43,112.5,1969,Rock 1960s
305,James Brown,Say It Loud (I'm Back And I'm Proud),2:47,114.8,1991,TBD
306,The Jam,That's Entertainment,3:31,143.2,1991,TBD
307,The Teenagers�Featuring�Frankie Lymon,Why Do Fools Fall in Love,2:17,88.1,1956,Rock 1950s
308,Jackie Wilson,Lonely Teardrops,2:42,139.2,1959,Rock 1950s
309,Tina Turner,What's Love Got to Do With It,3:49,97.9,1984,Slow
310,Black Sabbath,Iron Man,3:27,156.8,1970,Rock 1970s
311,Everly Brothers,Wake Up Little Susie,2:02,91.2,1957,Rock 1950s
312,Roy Orbison,In Dreams,2:48,107.9,1963,Slow
313,Screamin' Jay Hawkins,I Put a Spell on You,2:28,86.8,1990,TBD
314,Pink Floyd,Comfortably Numb,6:21,127,1980,Slow
315,The Animals,Don't Let Me Be Misunderstood,2:27,113.5,2003,TBD
316,Pink Floyd,Wish You Were Here,5:10,121.8,1975,Slow
317,Jimmy Cliff,Many Rivers to Cross,3:00,128,1969,TBD
318,Elvis Costello,Alison,3:21,88.6,1978,TBD
319,Alice Cooper,School's Out,3:28,134.2,1972,Rock 1970s
320,Led Zeppelin,Heartbreaker,4:14,112.4,1990,Rock 1970s
321,Neil Young,Cortez the Killer,7:32,113.9,1977,TBD
322,Public Enemy,Fight the Power,4:36,106,2005,TBD
323,Patty Smyth,Dancing Barefoot,4:16,116.9,1992,TBD
